id,symbol,name,current_price,market_cap,total_volume,price_change_percentage_24h,price_change_percentage_7d_in_currency,last_updated
bitcoin,btc,Bitcoin,96279.0,1911944216149,13540427751.0,-0.42713,2.011821252536133,2025-05-03T22:48:12.651Z
ethereum,eth,Ethereum,1843.46,222531088613,6549336237.0,0.38714,1.659521267780801,2025-05-03T22:48:12.113Z
tether,usdt,Tether,1.0,149212805005,13259927410.0,-0.02359,-0.013467927499142496,2025-05-03T22:48:14.112Z
ripple,xrp,XRP,2.2,128518546417,1227797446.0,-0.11247,0.21694119964334982,2025-05-03T22:48:12.326Z
binancecoin,bnb,BNB,599.72,87490108600,395679578.0,-0.26009,-1.4214269932120362,2025-05-03T22:48:11.553Z
solana,sol,Solana,147.63,76475410232,1786361694.0,-0.05128,-0.7145932787413254,2025-05-03T22:48:11.557Z
usd-coin,usdc,USDC,0.999895,61503499810,2941832225.0,-0.00761,-0.004291887047121277,2025-05-03T22:48:10.892Z
dogecoin,doge,Dogecoin,0.176846,26348144607,584645487.0,-2.27043,-2.1779282961995645,2025-05-03T22:48:12.683Z
cardano,ada,Cardano,0.706539,25469429502,744286441.0,1.7907,0.23898104534327344,2025-05-03T22:48:11.519Z
tron,trx,TRON,0.245769,23330643525,449399567.0,-0.77859,-2.6468531335734458,2025-05-03T22:48:11.390Z
staked-ether,steth,Lido Staked Ether,1842.72,16939546160,5185061.0,0.34314,1.667592066670669,2025-05-03T22:48:11.172Z
wrapped-bitcoin,wbtc,Wrapped Bitcoin,96201.0,12392929152,103233698.0,-0.41643,2.0860231704687218,2025-05-03T22:48:05.311Z
sui,sui,Sui,3.35,11197003762,905222393.0,-1.77237,-3.7688503870903354,2025-05-03T22:48:07.789Z
chainlink,link,Chainlink,14.32,9408460280,237867165.0,-1.89682,-3.422850315262923,2025-05-03T22:48:06.975Z
avalanche-2,avax,Avalanche,20.69,8637260527,170442596.0,-2.50306,-6.805104482229179,2025-05-03T22:48:11.128Z
stellar,xlm,Stellar,0.272079,8413662921,113216853.0,0.16588,-6.156798705193978,2025-05-03T22:48:11.175Z
leo-token,leo,LEO Token,8.96,8270689800,1832223.0,1.10204,-1.0539129902802893,2025-05-03T22:48:12.286Z
usds,usds,USDS,0.999941,7913916224,8284966.0,-0.00521,0.00953963102304405,2025-05-03T22:48:13.557Z
the-open-network,ton,Toncoin,3.1,7712495354,105688506.0,-1.4333,-7.080713947596544,2025-05-03T22:48:16.147Z
shiba-inu,shib,Shiba Inu,1.309e-05,7704830627,99454968.0,-1.9345,-7.128000071207223,2025-05-03T22:48:10.111Z
hedera-hashgraph,hbar,Hedera,0.181369,7662325416,99388633.0,-2.1449,-4.966306379552328,2025-05-03T22:48:11.177Z
wrapped-steth,wsteth,Wrapped stETH,2209.64,7654315445,12496118.0,0.24066,1.5273652509981952,2025-05-03T22:48:08.796Z
bitcoin-cash,bch,Bitcoin Cash,364.22,7233981161,164080239.0,-4.16515,2.074120814228157,2025-05-03T22:48:11.503Z
hyperliquid,hype,Hyperliquid,21.34,7131101424,83322215.0,2.11749,19.844453087224515,2025-05-03T22:48:15.070Z
litecoin,ltc,Litecoin,87.0,6596247065,202367684.0,-0.49265,-0.7005065325590434,2025-05-03T22:48:12.482Z
polkadot,dot,Polkadot,4.05,6163331832,93288291.0,-2.59072,-5.519024054817123,2025-05-03T22:48:11.972Z
weth,weth,WETH,1845.74,5326682522,45190378.0,0.45662,1.7423242844650584,2025-05-03T22:48:12.850Z
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),1.0,5186211573,72333510.0,-0.01688,-0.06018782768369244,2025-05-03T22:48:07.941Z
bitget-token,bgb,Bitget Token,4.39,5128336134,53419159.0,-0.94649,-0.5552542587551126,2025-05-03T22:48:06.741Z
monero,xmr,Monero,276.1,5088514941,94859141.0,-1.97095,20.353510803711355,2025-05-03T22:48:11.568Z
ethena-usde,usde,Ethena USDe,1.001,4683706972,33388298.0,0.00425,0.14690811626122596,2025-05-03T22:48:06.736Z
