id,symbol,name,current_price,market_cap,total_volume,price_change_percentage_24h,price_change_percentage_7d_in_currency,last_updated,is_volatile_24h
bitcoin,btc,Bitcoin,96279.0,1911944216149,13540427751.0,-0.43,2.01,2025-05-03 22:48:12.651000+00:00,False
ethereum,eth,Ethereum,1843.46,222531088613,6549336237.0,0.39,1.66,2025-05-03 22:48:12.113000+00:00,False
tether,usdt,Tether,1.0,149212805005,13259927410.0,-0.02,-0.01,2025-05-03 22:48:14.112000+00:00,False
ripple,xrp,XRP,2.2,128518546417,1227797446.0,-0.11,0.22,2025-05-03 22:48:12.326000+00:00,False
binancecoin,bnb,BNB,599.72,87490108600,395679578.0,-0.26,-1.42,2025-05-03 22:48:11.553000+00:00,False
solana,sol,Solana,147.63,76475410232,1786361694.0,-0.05,-0.71,2025-05-03 22:48:11.557000+00:00,False
usd-coin,usdc,USDC,1.0,61503499810,2941832225.0,-0.01,-0.0,2025-05-03 22:48:10.892000+00:00,False
dogecoin,doge,Dogecoin,0.18,26348144607,584645487.0,-2.27,-2.18,2025-05-03 22:48:12.683000+00:00,False
cardano,ada,Cardano,0.71,25469429502,744286441.0,1.79,0.24,2025-05-03 22:48:11.519000+00:00,False
tron,trx,TRON,0.25,23330643525,449399567.0,-0.78,-2.65,2025-05-03 22:48:11.390000+00:00,False
staked-ether,steth,Lido Staked Ether,1842.72,16939546160,5185061.0,0.34,1.67,2025-05-03 22:48:11.172000+00:00,False
wrapped-bitcoin,wbtc,Wrapped Bitcoin,96201.0,12392929152,103233698.0,-0.42,2.09,2025-05-03 22:48:05.311000+00:00,False
sui,sui,Sui,3.35,11197003762,905222393.0,-1.77,-3.77,2025-05-03 22:48:07.789000+00:00,False
chainlink,link,Chainlink,14.32,9408460280,237867165.0,-1.9,-3.42,2025-05-03 22:48:06.975000+00:00,False
avalanche-2,avax,Avalanche,20.69,8637260527,170442596.0,-2.5,-6.81,2025-05-03 22:48:11.128000+00:00,False
stellar,xlm,Stellar,0.27,8413662921,113216853.0,0.17,-6.16,2025-05-03 22:48:11.175000+00:00,False
leo-token,leo,LEO Token,8.96,8270689800,1832223.0,1.1,-1.05,2025-05-03 22:48:12.286000+00:00,False
usds,usds,USDS,1.0,7913916224,8284966.0,-0.01,0.01,2025-05-03 22:48:13.557000+00:00,False
the-open-network,ton,Toncoin,3.1,7712495354,105688506.0,-1.43,-7.08,2025-05-03 22:48:16.147000+00:00,False
shiba-inu,shib,Shiba Inu,0.0,7704830627,99454968.0,-1.93,-7.13,2025-05-03 22:48:10.111000+00:00,False
hedera-hashgraph,hbar,Hedera,0.18,7662325416,99388633.0,-2.14,-4.97,2025-05-03 22:48:11.177000+00:00,False
wrapped-steth,wsteth,Wrapped stETH,2209.64,7654315445,12496118.0,0.24,1.53,2025-05-03 22:48:08.796000+00:00,False
bitcoin-cash,bch,Bitcoin Cash,364.22,7233981161,164080239.0,-4.17,2.07,2025-05-03 22:48:11.503000+00:00,False
hyperliquid,hype,Hyperliquid,21.34,7131101424,83322215.0,2.12,19.84,2025-05-03 22:48:15.070000+00:00,False
litecoin,ltc,Litecoin,87.0,6596247065,202367684.0,-0.49,-0.7,2025-05-03 22:48:12.482000+00:00,False
polkadot,dot,Polkadot,4.05,6163331832,93288291.0,-2.59,-5.52,2025-05-03 22:48:11.972000+00:00,False
weth,weth,WETH,1845.74,5326682522,45190378.0,0.46,1.74,2025-05-03 22:48:12.850000+00:00,False
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),1.0,5186211573,72333510.0,-0.02,-0.06,2025-05-03 22:48:07.941000+00:00,False
bitget-token,bgb,Bitget Token,4.39,5128336134,53419159.0,-0.95,-0.56,2025-05-03 22:48:06.741000+00:00,False
monero,xmr,Monero,276.1,5088514941,94859141.0,-1.97,20.35,2025-05-03 22:48:11.568000+00:00,False
ethena-usde,usde,Ethena USDe,1.0,4683706972,33388298.0,0.0,0.15,2025-05-03 22:48:06.736000+00:00,False
